Date,median of the 100 ensemble member time series,,,
Jul-11,-0.51,,,
Aug-11,-0.5,,,
Sep-11,-0.511,,,
Oct-11,-0.465,,,
Nov-11,-0.374,,,
Dec-11,-0.293,,,
Jan-12,-0.361,,,
Feb-12,-0.288,,,
Mar-12,-0.385,,,
Apr-12,-0.342,,,
May-12,-0.375,,,
Jun-12,-0.312,,,
Jul-12,-0.453,,,
Aug-12,-0.559,,,
Sep-12,-0.557,,,
Oct-12,-0.641,,,
Nov-12,-0.518,,,
Dec-12,-0.484,,,
Jan-13,-0.451,,,
Feb-13,-0.508,,,
Mar-13,-0.537,,,
Apr-13,-0.431,,,
May-13,-0.513,,,
Jun-13,-0.505,,,
Jul-13,-0.431,,,
Aug-13,-0.39,,,
Sep-13,-0.426,,,
Oct-13,-0.425,,,
Nov-13,-0.264,,,
Dec-13,-0.232,,,
Jan-14,-0.079,,,
Feb-14,-0.211,,,
Mar-14,-0.326,,,
Apr-14,-0.39,,,
May-14,-0.282,,,
Jun-14,-0.281,,,
Jul-14,-0.328,,,
Aug-14,-0.214,,,
Sep-14,-0.255,,,
Oct-14,-0.146,,,
Nov-14,-0.183,,,
Dec-14,-0.249,,,
Jan-15,-0.111,,,
Feb-15,-0.044,,,
Mar-15,-0.187,,,
Apr-15,-0.046,,,
May-15,-0.196,,,
Jun-15,-0.215,,,
Jul-15,-0.1,,,
Aug-15,-0.065,,,
Sep-15,-0.128,,,
Oct-15,-0.255,,,
Nov-15,-0.138,,,
Dec-15,-0.253,,,
Jan-16,-0.235,,,
Feb-16,-0.181,,,
Mar-16,-0.406,,,
Apr-16,-0.339,,,
May-16,-0.351,,,
Jun-16,-0.472,,,
Jul-16,-0.378,,,
Aug-16,-0.342,,,
Sep-16,-0.335,,,
Oct-16,-0.395,,,
Nov-16,-0.572,,,
Dec-16,-0.629,,,
Jan-17,-0.68,,,
Feb-17,-0.765,,,
Mar-17,-0.832,,,
Apr-17,-0.477,,,
May-17,-0.662,,,
